,lien,Energie,Kilométrage,Puissance,Mise en circulation,Boite,Date Annonce,prix,Region,Modèle,Marque
0,https://baniola.tn/annonce/details/8090/DS3-14-i--VTI-Pack-Chic.html,Essence,120000.0,5 CV,2013.0,Manuelle,2022-02-15,33000 TND,Ariana,Ds3,Ds
1,https://baniola.tn/annonce/details/8086/Opel-Astra-J.html,Essence,93000.0,6 CV,2011.0,Manuelle,2022-02-15,31000 TND,Tunis,Astra,Opel
2,https://baniola.tn/annonce/details/8087/peugeot-301.html,Essence,78000.0,5 CV,2018.0,Manuelle,2022-02-15,25000 TND,Sousse,Autre,Peugeot
3,https://baniola.tn/annonce/details/8084/Symbole.html,Essence,175000.0,5 CV,2009.0,Manuelle,2022-02-14,0 TND,Manouba,Clio,Renault
4,https://baniola.tn/annonce/details/8085/Fiesta-mazout.html,Diesel,350862.0,7 CV,1992.0,Manuelle,2022-02-15,5555 TND,Tunis,Fiesta,Ford
5,https://baniola.tn/annonce/details/8027/Opel-Karl-Automatik-Essence.html,Essence,14000.0,5 CV,2017.0,Automatique,2022-02-09,24000 TND,Sfax,Karl,Opel
6,https://baniola.tn/annonce/details/8082/FIAT-GRANDI-PUNTO.html,Essence,,4 CV,2014.0,Manuelle,2022-02-14,111111 TND,Siliana,Grande punto,Fiat
7,https://baniola.tn/annonce/details/8078/Ford-Fiesta-98.html,Diesel,250000.0,5 CV,1998.0,Manuelle,2022-02-14,6500 TND,Sousse,Fiesta,Ford
8,https://baniola.tn/annonce/details/8079/Citrouen-Ax-6000-dnt.html,Essence,300.0,4 CV,1992.0,Manuelle,2022-02-14,6000 TND,Ben-arous,Ax,Citroen
9,https://baniola.tn/annonce/details/7665/FORD-FOCUS-ECOBOOST-BVA-TOUTES-OPTIONS.html,Essence,119000.0,7 CV,2017.0,Automatique,2022-01-16,43000 TND,Tunis,Focus,Ford
10,https://baniola.tn/annonce/details/8077/A-vendre-fiat-grande-punto.html,Essence,250000.0,5 CV,2009.0,Manuelle,2022-02-14,13050 TND,Gabes,Grande punto,Fiat
11,https://baniola.tn/annonce/details/8075/Opel-corsa-C.html,Essence,390000.0,4 CV,2002.0,Manuelle,2022-02-14,13500 TND,Tunis,Corsa,Opel
12,https://baniola.tn/annonce/details/8073/Passat.html,Essence,202000.0, CV,1999.0,Automatique,2022-02-13,18700 TND,kasserine,Passat,Volkswagen
13,https://baniola.tn/annonce/details/8074/Je-mets-en-vente-ma-voiture-polo-6-en-trs-bon-tat.html,Essence,180000.0,4 CV,2006.0,Manuelle,2022-02-13, TND,Tunis,Polo,Volkswagen
14,https://baniola.tn/annonce/details/8072/Kangoo-phase-3-A-vendre.html,Diesel,170000.0,6 CV,2010.0,Manuelle,2022-02-13,23500 TND,kasserine,Kangoo,Renault
15,https://baniola.tn/annonce/details/8071/Renault-Kangoo-face-3.html,Diesel,450000.0,6 CV,2008.0,Manuelle,2022-02-13,19000 TND,Tunis,Kangoo,Renault
16,https://baniola.tn/annonce/details/8068/Clio-4-propre.html,Essence,80800.0,5 CV,2018.0,Manuelle,2022-02-13,11111 TND,Sousse,Clio,Renault
17,https://baniola.tn/annonce/details/8070/Grande-Punto.html,Essence,160500.0,5 CV,2012.0,Manuelle,2022-02-13,23500 TND,Sfax,Grande punto,Fiat
18,https://baniola.tn/annonce/details/7487/mitsu-L200-trs-propre.html,Diesel,130000.0,8 CV,2015.0,Manuelle,2022-01-03,32900 TND,Tunis,L200,Mitsubishi
