,lien,Energie,Kilométrage,Puissance,Année,Date Annonce,Mois,saison,Boite,Region,Modèle,Marque,age,kilometrageparannée,prix
0,2,2,30000.0,4.0,2019.0,14/02/22,2,2,1,0,124,6,3.0,10000.0,31000.0
3,2,2,7000.0,4.0,2021.0,14/02/22,2,2,1,3,39,5,1.0,7000.0,39800.0
4,2,2,100000.0,4.0,2017.0,14/02/22,2,2,1,0,98,3,5.0,20000.0,30500.0
5,2,2,67000.0,5.0,2019.0,14/02/22,2,2,1,2,7,3,3.0,22333.333333333332,27500.0
6,2,2,190000.0,5.0,2004.0,14/02/22,2,2,1,19,98,3,18.0,10555.555555555555,16800.0
7,2,2,210000.0,8.0,2011.0,14/02/22,2,2,1,6,31,4,11.0,19090.909090909092,24500.0
8,2,2,245000.0,6.0,2010.0,14/02/22,2,2,1,19,29,41,12.0,20416.666666666668,19800.0
9,2,0,35000.0,4.0,2019.0,14/02/22,2,2,1,15,98,3,3.0,11666.666666666666,33500.0
10,2,2,85000.0,5.0,2018.0,13/02/22,2,2,1,12,38,41,4.0,21250.0,56000.0
11,2,2,165000.0,5.0,2015.0,13/02/22,2,2,1,4,98,3,7.0,23571.428571428572,37500.0
12,2,2,259000.0,6.0,2008.0,13/02/22,2,2,1,12,113,5,14.0,18500.0,19999.0
14,2,2,78000.0,5.0,2018.0,13/02/22,2,2,1,22,98,3,4.0,19500.0,25000.0
16,2,2,58000.0,5.0,2019.0,02/12/22,2,2,1,22,25,3,3.0,19333.333333333332,38500.0
17,2,0,60000.0,5.0,2019.0,02/12/22,2,2,1,22,25,3,3.0,20000.0,27800.0
18,2,2,80000.0,5.0,2016.0,02/12/22,2,2,1,22,69,1,6.0,13333.333333333334,1.0
19,2,2,86000.0,4.0,2016.0,02/12/22,2,2,1,19,102,4,6.0,14333.333333333334,35000.0
20,2,2,189000.0,5.0,2012.0,02/12/22,2,2,1,3,76,2,10.0,18900.0,26000.0
21,2,2,58000.0,5.0,2019.0,02/11/22,2,2,1,2,38,41,3.0,19333.333333333332,38500.0
22,2,0,160000.0,9.0,2016.0,02/11/22,2,2,1,15,79,31,6.0,26666.666666666668,63000.0
23,2,2,160000.0,5.0,2011.0,02/11/22,2,2,1,2,28,41,11.0,14545.454545454546,26400.0
24,2,2,150000.0,7.0,2015.0,02/11/22,2,2,1,22,114,9,7.0,21428.571428571428,28800.0
25,2,0,84000.0,5.0,2013.0,02/11/22,2,2,1,22,56,24,9.0,9333.333333333334,30800.0
26,2,2,350657.0,7.0,1992.0,02/10/22,2,2,1,22,55,24,30.0,11688.566666666668,5500.0
28,2,2,24000.0,5.0,2016.0,02/10/22,2,2,1,0,55,24,6.0,4000.0,39500.0
29,2,2,74000.0,4.0,2011.0,02/10/22,2,2,1,15,26,41,11.0,6727.272727272727,22000.0
31,2,0,386000.0,5.0,2003.0,02/09/22,2,2,1,0,8,3,19.0,20315.78947368421,16000.0
32,2,2,296000.0,6.0,1999.0,02/09/22,2,2,1,22,126,4,23.0,12869.565217391304,19000.0
33,2,2,102000.0,4.0,2017.0,02/09/22,2,2,1,22,28,41,5.0,20400.0,35500.0
34,2,2,130000.0,7.0,2009.0,02/09/22,2,2,1,22,23,25,13.0,10000.0,50000.0
38,2,2,300000.0,6.0,2001.0,02/07/22,2,2,1,0,59,4,21.0,14285.714285714286,18000.0
39,2,2,200000.0,4.0,2000.0,02/07/22,2,2,1,22,98,3,22.0,9090.90909090909,12500.0
41,2,2,136000.0,5.0,2009.0,02/07/22,2,2,1,22,98,3,13.0,10461.538461538461,36000.0
42,2,2,1000.0,6.0,2022.0,02/07/22,2,2,1,22,122,13,0.0,inf,49000.0
43,2,0,110000.0,5.0,2017.0,02/06/22,2,2,1,22,98,3,5.0,22000.0,29500.0
44,2,2,130000.0,5.0,2016.0,02/06/22,2,2,1,14,10,3,6.0,21666.666666666668,41500.0
45,2,0,115000.0,4.0,2013.0,02/05/22,2,2,1,22,98,3,9.0,12777.777777777777,32500.0
46,2,2,129000.0,5.0,2014.0,02/05/22,2,2,1,22,56,24,8.0,16125.0,35600.0
47,2,0,35000.0,6.0,2020.0,02/05/22,2,2,1,3,33,13,2.0,17500.0,42500.0
49,2,2,164000.0,7.0,2012.0,02/04/22,2,2,1,22,113,5,10.0,16400.0,27000.0
50,2,2,190000.0,6.0,2010.0,02/04/22,2,2,1,3,98,3,12.0,15833.333333333334,30000.0
51,2,2,311000.0,4.0,1998.0,02/03/22,2,2,1,0,98,3,24.0,12958.333333333334,12500.0
52,2,2,139000.0,5.0,2016.0,02/02/22,2,2,1,16,76,2,6.0,23166.666666666668,33000.0
53,2,0,238000.0,4.0,2010.0,31/01/22,1,2,1,2,102,4,12.0,19833.333333333332,16500.0
55,2,2,117000.0,6.0,1994.0,31/01/22,1,2,1,15,59,4,28.0,4178.571428571428,11500.0
56,2,2,172000.0,5.0,2008.0,31/01/22,1,2,1,2,56,24,14.0,12285.714285714286,18800.0
57,2,2,152000.0,5.0,2014.0,31/01/22,1,2,1,15,91,23,8.0,19000.0,24000.0
58,2,2,152510.0,7.0,2011.0,30/01/22,1,2,1,3,29,41,11.0,13864.545454545454,29500.0
60,2,2,190000.0,6.0,2017.0,30/01/22,1,2,1,19,67,41,5.0,38000.0,28000.0
61,2,0,172000.0,5.0,2008.0,29/01/22,1,2,1,22,56,24,14.0,12285.714285714286,18800.0
62,2,2,171000.0,6.0,2009.0,28/01/22,1,2,1,0,30,41,13.0,13153.846153846154,28000.0
63,2,0,208000.0,6.0,1988.0,28/01/22,1,2,1,15,113,5,34.0,6117.64705882353,10000.0
64,2,0,172000.0,5.0,2008.0,28/01/22,1,2,1,5,56,24,14.0,12285.714285714286,18800.0
66,2,2,290000.0,7.0,2006.0,26/01/22,1,2,1,22,82,5,16.0,18125.0,21500.0
67,2,0,143000.0,5.0,2014.0,25/01/22,1,2,1,22,6,3,8.0,17875.0,24000.0
68,2,2,194000.0,7.0,2012.0,25/01/22,1,2,1,22,82,5,10.0,19400.0,26500.0
69,2,0,200000.0,7.0,2009.0,25/01/22,1,2,0,22,88,40,13.0,15384.615384615385,26500.0
71,2,0,159000.0,5.0,2014.0,25/01/22,1,2,1,12,56,24,8.0,19875.0,21000.0
72,2,0,105000.0,4.0,2017.0,25/01/22,1,2,1,2,34,32,5.0,21000.0,9900.0
73,2,2,231000.0,4.0,2007.0,24/01/22,1,2,1,12,4,3,15.0,15400.0,18500.0
74,2,0,30000.0,5.0,2017.0,24/01/22,1,2,1,19,56,24,5.0,6000.0,44000.0
77,2,0,160000.0,6.0,2008.0,23/01/22,1,2,1,16,88,40,14.0,11428.57142857143,29000.0
78,2,2,133000.0,7.0,2018.0,23/01/22,1,2,1,0,97,4,4.0,33250.0,65000.0
79,2,2,146000.0,5.0,2005.0,22/01/22,1,2,1,0,82,5,17.0,8588.235294117647,18000.0
81,2,2,85000.0,5.0,2015.0,21/01/22,1,2,1,16,34,32,7.0,12142.857142857143,26500.0
83,2,2,180000.0,6.0,2006.0,21/01/22,1,2,1,22,59,4,16.0,11250.0,23500.0
86,2,2,190000.0,6.0,2010.0,19/01/22,1,2,1,4,5,3,12.0,15833.333333333334,37000.0
87,2,2,190000.0,8.0,2013.0,19/01/22,1,2,1,0,113,5,9.0,21111.11111111111,35000.0
88,2,0,232000.0,7.0,2010.0,18/01/22,1,2,1,22,23,25,12.0,19333.333333333332,34800.0
92,2,2,153000.0,5.0,2014.0,17/01/22,1,2,1,17,59,4,8.0,19125.0,53000.0
94,2,0,80000.0,4.0,2017.0,17/01/22,1,2,1,22,28,41,5.0,16000.0,45000.0
