,lien,Energie,Kilométrage,Puissance,Mise en circulation,Année,Date Annonce,Mois,saison,Boite,Region,Modèle,Marque,carrosserie,prix
0,www.affare.tn,Essence,30000.0,4.0,2019-02-22,2019.0,14/02/22,2.0,hiver,Manuelle,Ariana, toyota,Toyota,,31000.0
1,www.affare.tn,Diesel,190000.0,10.0,2012-09-20,2012.0,14/02/22,2.0,hiver,Automatique,Manouba, q5,Audi,,85000.0
2,www.affare.tn,Essence,94000.0,6.0,2017-10-20,2018.0,14/02/22,2.0,hiver,Manuelle,Tunis, golf,Volkswagen,,94000.0
3,www.affare.tn,Essence,183000.0,,,2007.0,,,,,, une,,,
4,www.affare.tn,Essence,140000.0,,,2015.0,,,,,, skoda,Skoda,,
5,www.affare.tn,Essence,7000.0,4.0,2021-02-20,2021.0,14/02/22,2.0,hiver,Manuelle,Tunis, clio,Renault,,39800.0
6,www.affare.tn,Essence,249399.0,6.0,2016-08-10,2016.0,,,,Manuelle,Nabeul, audi,Audi,,
7,www.affare.tn,Essence,125796.0,6.0,2006-01-06,2006.0,14/02/22,2.0,hiver,Manuelle,Tunis, dame,,,17500.0
8,www.affare.tn,Essence,100000.0,4.0,2017-08-09,2017.0,14/02/22,2.0,hiver,Manuelle,Bizerte, peugeot,Peugeot,,30500.0
9,www.affare.tn,Essence,67000.0,5.0,2019-01-16,2019.0,14/02/22,2.0,hiver,Manuelle,Bizerte, 301allure,Peugeot,,27500.0
10,www.affare.tn,Essence,190000.0,5.0,2004-12-02,2004.0,14/02/22,2.0,hiver,Manuelle,Bizerte, peugeot,Peugeot,,16800.0
11,www.affare.tn,Diesel,210000.0,8.0,2011-05-31,2011.0,14/02/22,2.0,hiver,Manuelle,Tunis, caddy,Volkswagen,,24500.0
12,www.affare.tn,Essence,245000.0,6.0,2022-02-14,2010.0,14/02/22,2.0,hiver,Manuelle,Ben arous, c4,Citroen,,19800.0
13,www.affare.tn,Essence,35000.0,4.0,2019-02-13,2019.0,14/02/22,2.0,hiver,Manuelle,Jendouba, peugeot,Peugeot,,33500.0
14,www.affare.tn,Essence,25000.0,8.0,2020-07-20,2020.0,14/02/22,2.0,hiver,Automatique,Ariana, haval,Haval,,94000.0
