,lien,Energie,Kilométrage,Puissance,Année,Mois,saison,Boite,Region,Modèle,Marque,carrosserie,prix,EUR,USD
0,www.affare.tn,Essence,30000.0,4.0,2019.0,2.0,hiver,Manuelle,Ariana, toyota,Toyota,Berline,31000.0,9578.845000000001,10439.126
1,www.affare.tn,Essence,7000.0,4.0,2021.0,2.0,hiver,Manuelle,Tunis, clio,Renault,Berline,39800.0,12298.001,13402.4908
2,www.affare.tn,Essence,125796.0,6.0,2006.0,2.0,hiver,Manuelle,Tunis, dame,Volkswagen,Berline,17500.0,5407.4125,5893.054999999999
3,www.affare.tn,Essence,100000.0,4.0,2017.0,2.0,hiver,Manuelle,Bizerte, peugeot,Peugeot,Berline,30500.0,9424.3475,10270.752999999999
4,www.affare.tn,Essence,67000.0,5.0,2019.0,2.0,hiver,Manuelle,Bizerte, 301allure,Peugeot,Berline,27500.0,8497.362500000001,9260.515
5,www.affare.tn,Essence,190000.0,5.0,2004.0,2.0,hiver,Manuelle,Bizerte, peugeot,Peugeot,Berline,16800.0,5191.116,5657.3328
6,www.affare.tn,Diesel,210000.0,8.0,2011.0,2.0,hiver,Manuelle,Tunis, caddy,Volkswagen,Berline,24500.0,7570.3775000000005,8250.277
7,www.affare.tn,Essence,245000.0,6.0,2010.0,2.0,hiver,Manuelle,Ben arous, c4,Citroen,Berline,19800.0,6118.101000000001,6667.5707999999995
8,www.affare.tn,Essence,35000.0,4.0,2019.0,2.0,hiver,Manuelle,Jendouba, peugeot,Peugeot,Berline,33500.0,10351.3325,11280.991
9,www.affare.tn,Essence,85000.0,5.0,2018.0,2.0,hiver,Manuelle,Ben arous, citroen,Citroen,Berline,56000.0,17303.72,18857.775999999998
10,www.affare.tn,Essence,165000.0,5.0,2015.0,2.0,hiver,Manuelle,Ben arous, peugeot,Peugeot,Berline,37500.0,11587.3125,12627.975
11,www.affare.tn,Diesel,259000.0,6.0,2008.0,2.0,hiver,Manuelle,Sousse, renault,Renault,Berline,19999.0,6179.591005,6734.583254
12,www.affare.tn,Essence,78000.0,5.0,2018.0,2.0,hiver,Manuelle,Sousse, peugeot,Peugeot,Berline,25000.0,7724.875000000001,8418.65
13,www.affare.tn,Essence,58000.0,5.0,2019.0,2.0,hiver,Manuelle,Bizerte, c,Volkswagen,Berline,38500.0,11896.3075,12964.721
14,www.affare.tn,Essence,60000.0,5.0,2019.0,2.0,hiver,Manuelle,Bizerte, c,Volkswagen,Berline,27800.0,8590.061,9361.5388
15,www.affare.tn,Essence,231000.0,5.0,2007.0,2.0,hiver,Manuelle,Tunis, voiture,Volkswagen,Berline,17000.0,5252.915,5724.682
16,www.affare.tn,Essence,80000.0,5.0,2016.0,2.0,hiver,Manuelle,Nabeul, a,Volkswagen,Berline,1.0,0.308995,0.336746
17,www.affare.tn,Essence,86000.0,4.0,2016.0,2.0,hiver,Manuelle,Manouba, polo,Volkswagen,Berline,35000.0,10814.825,11786.109999999999
18,www.affare.tn,Essence,14000.0,5.0,2017.0,2.0,hiver,Automatique,Sfax, opel,Opel,Berline,24000.0,7415.88,8081.9039999999995
19,www.affare.tn,Essence,189000.0,5.0,2012.0,2.0,hiver,Manuelle,Gabes, kia,Kia,Berline,26000.0,8033.870000000001,8755.396
20,www.affare.tn,Essence,58000.0,5.0,2019.0,2.0,hiver,Manuelle,Ariana, citroen,Citroen,Berline,38500.0,11896.3075,12964.721
21,www.affare.tn,Diesel,160000.0,9.0,2016.0,2.0,hiver,Manuelle,Nabeul, mazda,Mazda,Berline,63000.0,19466.685,21214.998
22,www.affare.tn,Essence,160.0,6.0,2011.0,2.0,hiver,Manuelle,Ariana, voiture,Volkswagen,Berline,23000.0,7106.885,7745.157999999999
23,www.affare.tn,Essence,250000.0,5.0,2001.0,2.0,hiver,Manuelle,Manouba, a,Volkswagen,Berline,15200.0,4696.724,5118.5392
24,www.affare.tn,Essence,160000.0,5.0,2011.0,2.0,hiver,Manuelle,Tunis, c3,Citroen,Berline,26400.0,8157.468000000001,8890.0944
25,www.affare.tn,Essence,150000.0,7.0,2015.0,2.0,hiver,Manuelle,Tunis, seat,Seat,Berline,28800.0,8899.056,9698.2848
26,www.affare.tn,Essence,84000.0,5.0,2013.0,2.0,hiver,Manuelle,Tunis, ford,Ford,Berline,30800.0,9517.046,10371.7768
27,www.affare.tn,Essence,136.0,4.0,2010.0,2.0,hiver,Manuelle,Tunis, kia,Kia,Berline,22000.0,6797.89,7408.411999999999
28,www.affare.tn,Essence,24000.0,5.0,2016.0,2.0,hiver,Manuelle,Tunis, fiesta,Ford,Berline,39500.0,12205.302500000002,13301.466999999999
29,www.affare.tn,Essence,74000.0,4.0,2011.0,2.0,hiver,Manuelle,Ben arous, c1,Citroen,Berline,22000.0,6797.89,7408.411999999999
30,www.affare.tn,Diesel,10.0,5.0,2014.0,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,Berline,18500.0,5716.4075,6229.8009999999995
31,www.affare.tn,Essence,386000.0,5.0,2003.0,2.0,hiver,Manuelle,Sousse, 307,Peugeot,Berline,16000.0,4943.92,5387.936
32,www.affare.tn,Essence,102000.0,4.0,2017.0,2.0,hiver,Manuelle,Ben arous, c3,Citroen,Berline,35500.0,10969.3225,11954.483
33,www.affare.tn,Essence,130000.0,7.0,2009.0,2.0,hiver,Manuelle,Tunis, bmw,BMW,Berline,50000.0,15449.750000000002,16837.3
34,www.affare.tn,Essence,0.0,5.0,2013.0,2.0,hiver,Manuelle,Bizerte, kia,Kia,Berline,28000.0,8651.86,9428.887999999999
35,www.affare.tn,Essence,235.0,7.0,2010.0,2.0,hiver,Manuelle,Ben arous, passat,Volkswagen,Berline,36000.0,11123.820000000002,12122.856
36,www.affare.tn,Essence,200.0,6.0,2012.0,2.0,hiver,Manuelle,Nabeul, hyundai,Hyundai,Berline,26.0,8.03387,8.755396
37,www.affare.tn,Diesel,300000.0,6.0,2001.0,2.0,hiver,Manuelle,Ben arous, golf,Volkswagen,Berline,18000.0,5561.910000000001,6061.428
38,www.affare.tn,Diesel,200.0,5.0,2000.0,2.0,hiver,Manuelle,Mahdia, annonce,Volkswagen,Berline,20000.0,6179.900000000001,6734.92
39,www.affare.tn,Essence,200000.0,4.0,2000.0,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,Berline,12500.0,3862.4375000000005,4209.325
40,www.affare.tn,Essence,136000.0,5.0,2009.0,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,Berline,36000.0,11123.820000000002,12122.856
41,www.affare.tn,Essence,1000.0,6.0,2022.0,2.0,hiver,Manuelle,Tunis, tiggo2,Chery,Berline,49000.0,15140.755000000001,16500.554
42,www.affare.tn,Essence,110000.0,5.0,2017.0,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,Berline,29500.0,9115.3525,9934.007
43,www.affare.tn,Essence,200000.0,6.0,2017.0,2.0,hiver,Manuelle,Ariana, vendre,Volkswagen,Berline,48000.0,14831.76,16163.807999999999
44,www.affare.tn,Essence,55700.0,7.0,2017.0,2.0,hiver,Manuelle,Ariana, a,Volkswagen,Berline,58000.0,17921.710000000003,19531.268
45,www.affare.tn,Essence,253000.0,4.0,2009.0,2.0,hiver,Manuelle,Nabeul, av,Volkswagen,Berline,20000.0,6179.900000000001,6734.92
46,www.affare.tn,Essence,28000.0,4.0,2019.0,2.0,hiver,Manuelle,Ariana, a,Volkswagen,Berline,34000.0,10505.83,11449.364
47,www.affare.tn,Essence,130000.0,5.0,2016.0,2.0,hiver,Manuelle,Nabeul, 308,Peugeot,Berline,41500.0,12823.292500000001,13974.958999999999
48,www.affare.tn,Essence,115000.0,4.0,2013.0,2.0,hiver,Manuelle,Monastir, peugeot,Peugeot,Berline,32500.0,10042.337500000001,10944.244999999999
49,www.affare.tn,Essence,129000.0,5.0,2014.0,2.0,hiver,Manuelle,Ben arous, ford,Ford,Berline,35600.0,11000.222000000002,11988.1576
50,www.affare.tn,Essence,35000.0,6.0,2020.0,2.0,hiver,Manuelle,Mahdia, chery,Chery,Berline,42500.0,13132.2875,14311.705
51,www.affare.tn,Diesel,0.0,7.0,2003.0,2.0,hiver,Manuelle,Zaghouan, citroen,Citroen,Berline,15200.0,4696.724,5118.5392
52,www.affare.tn,Essence,145000.0,5.0,2012.0,2.0,hiver,Manuelle,Sousse, une,Volkswagen,Berline,28000.0,8651.86,9428.887999999999
53,www.affare.tn,Essence,164000.0,7.0,2012.0,2.0,hiver,Manuelle,Ariana, renault,Renault,Berline,27000.0,8342.865,9092.142
54,www.affare.tn,Essence,124000.0,5.0,2014.0,2.0,hiver,Manuelle,Tunis, premiere,Volkswagen,Berline,29500.0,9115.3525,9934.007
55,www.affare.tn,Diesel,170000.0,5.0,2017.0,2.0,hiver,Manuelle,Ben arous, vente,Volkswagen,Berline,20000.0,6179.900000000001,6734.92
56,www.affare.tn,Diesel,190000.0,6.0,2010.0,2.0,hiver,Manuelle,Tunis, peugeot,Peugeot,Berline,30000.0,9269.85,10102.38
57,www.affare.tn,Essence,170.0,5.0,2016.0,2.0,hiver,Manuelle,Tunis, c,Volkswagen,Berline,23000.0,7106.885,7745.157999999999
58,www.affare.tn,Essence,40000.0,5.0,2019.0,2.0,hiver,Manuelle,Tunis, fiat,Fiat,Berline,45000.0,13904.775000000001,15153.57
59,www.affare.tn,Essence,139000.0,5.0,2016.0,2.0,hiver,Manuelle,Ariana, kia,Kia,Berline,33000.0,10196.835000000001,11112.618
60,www.affare.tn,Essence,142000.0,5.0,2014.0,2.0,hiver,Manuelle,Ben arous, vente,Volkswagen,Berline,53000.0,16376.735,17847.538
61,www.affare.tn,Diesel,238000.0,4.0,2010.0,1.0,hiver,Manuelle,Ben arous, polo,Volkswagen,Berline,16500.0,5098.4175000000005,5556.309
62,www.affare.tn,Essence,53.0,5.0,2017.0,1.0,hiver,Manuelle,Tunis, ford,Ford,Berline,39500.0,12205.302500000002,13301.466999999999
63,www.affare.tn,Essence,131000.0,6.0,2017.0,1.0,hiver,Manuelle,Tunis, a,Volkswagen,Berline,34000.0,10505.83,11449.364
64,www.affare.tn,Essence,172000.0,5.0,2008.0,1.0,hiver,Manuelle,Tunis, ford,Ford,Berline,18800.0,5809.106000000001,6330.824799999999
65,www.affare.tn,Essence,152000.0,5.0,2014.0,1.0,hiver,Manuelle,Ariana, nissan,Nissan,Berline,24000.0,7415.88,8081.9039999999995
66,www.affare.tn,Essence,152510.0,7.0,2011.0,1.0,hiver,Manuelle,Nabeul, c4,Citroen,Berline,29500.0,9115.3525,9934.007
67,www.affare.tn,Essence,190000.0,6.0,2017.0,1.0,hiver,Manuelle,Tunis, geat,Volkswagen,Berline,28000.0,8651.86,9428.887999999999
68,www.affare.tn,Essence,127000.0,5.0,2012.0,1.0,hiver,Manuelle,Tunis, premiere,Volkswagen,Berline,26000.0,8033.870000000001,8755.396
69,www.affare.tn,Essence,172000.0,5.0,2008.0,1.0,hiver,Manuelle,Tunis, ford,Ford,Berline,18800.0,5809.106000000001,6330.824799999999
70,www.affare.tn,Essence,155000.0,5.0,2009.0,1.0,hiver,Manuelle,Tunis, a,Volkswagen,Berline,25000.0,7724.875000000001,8418.65
71,www.affare.tn,Diesel,274000.0,5.0,2009.0,1.0,hiver,Manuelle,Tunis, voiture,Volkswagen,Berline,27000.0,8342.865,9092.142
72,www.affare.tn,Diesel,171000.0,6.0,2009.0,1.0,hiver,Manuelle,Tunis, c5,Citroen,Berline,28000.0,8651.86,9428.887999999999
73,www.affare.tn,Essence,220000.0,5.0,2002.0,1.0,hiver,Manuelle,Ben arous, vend,Volkswagen,Berline,15000.0,4634.925,5051.19
74,www.affare.tn,Essence,172000.0,5.0,2008.0,1.0,hiver,Manuelle,Tunis, ford,Ford,Berline,18800.0,5809.106000000001,6330.824799999999
75,www.affare.tn,Essence,126000.0,5.0,2018.0,1.0,hiver,Manuelle,Monastir, suzuki,Suzuki,Berline,29500.0,9115.3525,9934.007
76,www.affare.tn,Essence,170000.0,7.0,2007.0,1.0,hiver,Manuelle,Tunis, c5,Citroen,Berline,111.0,34.298445,37.378806
77,www.affare.tn,Essence,290000.0,7.0,2006.0,1.0,hiver,Manuelle,Sousse, megane,Renault,Berline,21500.0,6643.392500000001,7240.039
78,www.affare.tn,Essence,143000.0,5.0,2014.0,1.0,hiver,Manuelle,Monastir, 301,Peugeot,Berline,24000.0,7415.88,8081.9039999999995
79,www.affare.tn,Essence,194000.0,7.0,2012.0,1.0,hiver,Manuelle,Ariana, megane,Renault,Berline,26500.0,8188.3675,8923.769
80,www.affare.tn,Essence,200000.0,7.0,2009.0,1.0,hiver,Automatique,Tunis, mini,Mini Cooper,Berline,26500.0,8188.3675,8923.769
81,www.affare.tn,Essence,159000.0,5.0,2014.0,1.0,hiver,Manuelle,Tunis, ford,Ford,Berline,21000.0,6488.895,7071.666
82,www.affare.tn,Essence,68000.0,5.0,2015.0,1.0,hiver,Manuelle,Ariana, vente,Volkswagen,Berline,70000.0,21629.65,23572.219999999998
83,www.affare.tn,Essence,105000.0,4.0,2017.0,1.0,hiver,Manuelle,Bizerte, chevrolet,Chevrolet,Berline,9900.0,3059.0505000000003,3333.7853999999998
84,www.affare.tn,Diesel,231000.0,4.0,2007.0,1.0,hiver,Manuelle,Sousse, 207,Peugeot,Berline,18500.0,5716.4075,6229.8009999999995
85,www.affare.tn,Essence,30000.0,5.0,2017.0,1.0,hiver,Manuelle,Tunis, ford,Ford,Berline,44000.0,13595.78,14816.823999999999
86,www.affare.tn,Diesel,244.0,5.0,2010.0,1.0,hiver,Manuelle,Tozeur, volkswagen,Volkswagen,Berline,35000.0,10814.825,11786.109999999999
87,www.affare.tn,Diesel,122.0,7.0,2017.0,1.0,hiver,Manuelle,Ben arous, a,Volkswagen,Berline,37500.0,11587.3125,12627.975
88,www.affare.tn,Diesel,10000.0,5.0,2015.0,1.0,hiver,Manuelle,Bizerte, sur,Volkswagen,Berline,24000.0,7415.88,8081.9039999999995
